						  The Restaurant - Description of the internal state

Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion				Table


State	State	State	State	State	State	State	State	State					 Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
PRPCS	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
PRPCS	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	EJTML	CHTWC	CHTWC	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	EJTML	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	EJTML	CHTWC	EJTML	EJTML	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	EJTML	EJTML	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
