						  The Restaurant - Description of the internal state

	Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion			Table


	State	State	State	State	State	State	State	State	State				Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6

	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	PRPCS	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	GGHOM	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	GGHOM	CHTWC	CHTWC	PYTML	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	GGHOM	CHTWC	GGHOM	PYTML	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	GGHOM	CHTWC	GGHOM	PYTML	CHTWC	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	GGHOM	CHTWC	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	CHTWC	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	PRCBL	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	RECPM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
